Vehicle,Fuel_Type_main,Total_Propellant_Mass_kg_main,Mixing_ratio_Al_if_Solid_main,Fuel_Type_booster,Total_Propellant_Mass_kg_booster,Mixing_ratio_Al_if_Solid_booster,Stratospheric_CO2_tons,Stratospheric_H2O_tons,Stratospheric_Black_Carbon_tons,Stratospheric_NOx_tons,Stratospheric_nClx_tons,Stratospheric_Alumina_tons,max_altitude_km,total_fuel_mass,pollution
FalconSAT-2,0,6100,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,400,5500,40
Falcon9CASSIOPE,0,395700,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,625,361000,135
Falcon9SES-8,0,395700,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,80000,361000,147
Falcon9OG2Mission,0,395700,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,630,361000,152
Falcon9FullThrust,0,549054,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,400,500000,225
Falcon9_Full_Thrust_SES-9,0,549054,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,400,35786,189
Vega,2,137700,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,2000,123700,62
LARES,2,27200,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,1470,24300,13
SES,4,145000,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,36000,130500,48
GSAT-14,4,41000,2,0,530400,2,221.85,90.81,1.27,0.19,0,0,36000,36000,114
